checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,default,age_group,amount_bucket,debt_burden,credit_hist_score,checking_score,risk_score,risk_segment
A14,36,A32,A40,909,A63,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1,0,35-44,Low,3.64,2,3,1.97,Low Risk
A14,6,A32,A42,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,0,25-34,Medium,2.98,2,3,1.92,Low Risk
A11,18,A32,A42,1131,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2,1,25-34,Low,4.52,2,4,2.34,Medium Risk
A12,11,A32,A42,1577,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1,0,18-24,Low,6.31,2,2,1.87,Low Risk
A14,24,A32,A42,3972,A61,A74,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,1,0,25-34,Medium,7.94,2,3,2.3,Medium Risk
A12,24,A34,A49,1935,A61,A75,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,2,1,25-34,Low,7.74,1,2,1.58,Low Risk
A11,15,A30,A40,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,2,1,25-34,Low,3.8,4,4,3.08,High Risk
A14,12,A32,A42,763,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1,0,25-34,Low,3.05,2,3,1.93,Low Risk
A12,24,A33,A42,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2,1,25-34,Medium,6.19,3,2,2.26,Medium Risk
A12,8,A32,A43,1414,A61,A73,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1,0,25-34,Low,5.66,2,2,1.82,Low Risk
A11,21,A33,A46,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,2,1,25-34,Medium,6.83,3,4,2.91,Medium Risk
A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2,1,45-59,High,29.94,3,3,3.6,High Risk
A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1,0,35-44,Medium,5.15,2,4,2.39,Medium Risk
A11,6,A34,A43,338,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,1,0,45-59,Low,1.35,1,4,1.7,Low Risk
A14,12,A32,A43,1963,A61,A74,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,1,0,25-34,Low,7.85,2,3,2.29,Medium Risk
A11,21,A34,A40,571,A61,A75,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,1,0,60+,Low,2.28,1,4,1.77,Low Risk
A14,36,A33,A49,9572,A61,A72,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,2,1,25-34,High,9.57,3,3,2.82,Medium Risk
A12,36,A33,A49,4455,A61,A73,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,2,1,25-34,Medium,8.91,3,2,2.47,Medium Risk
A11,21,A31,A40,1647,A65,A73,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,2,1,35-44,Low,6.59,3,4,2.89,Medium Risk
A14,24,A34,A42,3777,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1,0,45-59,Medium,15.11,1,3,2.43,Medium Risk
A12,18,A34,A40,884,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,2,1,35-44,Low,3.54,1,2,1.27,Low Risk
A14,15,A34,A43,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,0,25-34,Low,5.44,1,3,1.71,Low Risk
A12,9,A31,A41,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2,1,60+,High,10.26,3,2,2.57,Medium Risk
A12,16,A34,A40,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,0,60+,Low,2.35,1,2,1.18,Low Risk
A11,12,A32,A43,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2,1,18-24,Low,2.7,2,4,2.2,Medium Risk
A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,0,25-34,Medium,3.24,4,2,2.44,Medium Risk
A14,24,A32,A49,4591,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2,1,45-59,Medium,9.18,2,3,2.39,Medium Risk
A12,48,A30,A49,3844,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2,1,25-34,Medium,15.38,4,2,3.35,High Risk
A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,2,1,35-44,Medium,15.66,2,2,2.57,Medium Risk
A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,0,25-34,Medium,4.22,2,3,2.02,Medium Risk
A12,45,A32,A43,3031,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1,18-24,Medium,12.12,2,2,2.31,Medium Risk
A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2,1,25-34,Low,3.0,1,2,1.23,Low Risk
A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,0,25-34,Low,1.38,1,3,1.4,Low Risk
A12,12,A32,A42,951,A62,A72,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,2,1,25-34,Low,3.8,2,2,1.68,Low Risk
A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,0,35-44,Medium,11.04,2,2,2.23,Medium Risk
A12,18,A33,A42,4297,A61,A75,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2,1,35-44,Medium,17.19,3,2,3.09,High Risk
A14,9,A34,A46,936,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,0,45-59,Low,3.74,1,3,1.58,Low Risk
A11,12,A32,A40,1168,A61,A73,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,0,25-34,Low,4.67,2,4,2.35,Medium Risk
A14,27,A33,A49,5117,A61,A74,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,0,25-34,High,15.35,3,3,3.25,High Risk
A11,12,A32,A48,902,A61,A74,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,2,1,18-24,Low,3.61,2,4,2.27,Medium Risk
A14,12,A34,A40,1495,A61,A75,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,0,35-44,Low,5.98,1,3,1.75,Low Risk
A11,30,A34,A41,10623,A61,A75,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,0,35-44,High,31.87,1,4,3.1,High Risk
A14,12,A34,A42,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,0,35-44,Low,7.74,1,3,1.88,Low Risk
A12,12,A34,A44,1424,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,0,25-34,Low,5.7,1,2,1.43,Low Risk
A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,0,18-24,High,13.14,2,4,2.99,Medium Risk
A14,12,A32,A41,1413,A64,A74,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,0,45-59,Low,4.24,2,3,2.02,Medium Risk
A14,9,A34,A43,3074,A65,A73,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,0,25-34,Medium,3.07,1,3,1.53,Low Risk
A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,0,45-59,Medium,7.67,2,3,2.28,Medium Risk
A11,27,A30,A49,5293,A61,A71,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,2,1,45-59,High,10.59,4,4,3.59,High Risk
A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,2,1,60+,Low,7.63,3,1,2.07,Medium Risk
A14,36,A34,A43,3342,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,0,45-59,Medium,13.37,1,3,2.3,Medium Risk
A12,6,A34,A48,932,A65,A74,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,0,35-44,Low,0.93,1,2,1.07,Low Risk
A11,18,A30,A49,3104,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,0,25-34,Medium,9.31,4,4,3.5,High Risk
A13,36,A32,A43,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,0,18-24,Medium,7.83,2,1,1.69,Low Risk
A11,24,A32,A42,3021,A61,A73,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,0,18-24,Medium,6.04,2,4,2.45,Medium Risk
A14,10,A32,A40,1364,A61,A73,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,0,60+,Low,2.73,2,3,1.9,Low Risk
A12,12,A32,A43,625,A61,A72,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,0,25-34,Low,2.5,2,2,1.59,Low Risk
A11,12,A32,A46,1200,A65,A73,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,0,18-24,Low,4.8,2,4,2.36,Medium Risk
A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,0,25-34,Low,2.83,2,3,1.91,Low Risk
A14,24,A33,A49,2978,A65,A73,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,0,25-34,Medium,11.91,3,3,2.99,Medium Risk
A14,15,A32,A41,4657,A61,A73,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,0,25-34,Medium,13.97,2,3,2.75,Medium Risk
A14,36,A30,A45,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,0,25-34,Medium,10.45,4,3,3.28,High Risk
A12,48,A32,A43,10961,A64,A74,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,2,1,25-34,High,10.96,2,2,2.22,Medium Risk
A11,12,A32,A42,7865,A61,A75,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,2,1,45-59,High,31.46,2,4,3.5,High Risk
A14,9,A32,A43,1478,A61,A74,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,1,18-24,Low,5.91,2,3,2.14,Medium Risk
A11,24,A32,A42,3149,A61,A72,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,1,0,18-24,Medium,12.6,2,4,2.94,Medium Risk
A13,36,A32,A43,4210,A61,A73,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,2,1,25-34,Medium,16.84,2,1,2.36,Medium Risk
A14,9,A32,A40,2507,A63,A75,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1,0,45-59,Medium,5.01,2,3,2.08,Medium Risk
A14,12,A32,A43,2141,A62,A74,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,1,0,35-44,Medium,6.42,2,3,2.18,Medium Risk
A12,18,A32,A43,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,1,0,25-34,Low,3.46,2,2,1.66,Low Risk
A14,4,A34,A43,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,1,0,35-44,Low,3.09,1,3,1.53,Low Risk
A11,24,A32,A43,1823,A61,A71,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,2,1,25-34,Low,7.29,2,4,2.55,Medium Risk
A12,6,A32,A40,14555,A65,A71,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,2,1,18-24,High,14.56,2,2,2.49,Medium Risk
A12,21,A32,A49,2767,A62,A75,4,A91,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,2,1,60+,Medium,11.07,2,2,2.23,Medium Risk
A14,12,A34,A43,1291,A61,A73,4,A92,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,1,0,35-44,Low,5.16,1,3,1.69,Low Risk
A11,30,A32,A43,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,1,0,35-44,Medium,2.52,2,4,2.19,Medium Risk
A11,24,A32,A40,915,A65,A75,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,2,1,25-34,Low,3.66,2,4,2.27,Medium Risk
A14,6,A32,A43,1595,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,1,0,45-59,Low,4.78,2,3,2.06,Medium Risk
A11,48,A30,A41,4605,A61,A75,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,2,1,18-24,Medium,13.82,4,4,3.84,High Risk
A14,12,A34,A49,1185,A61,A73,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,0,25-34,Low,3.56,1,3,1.57,Low Risk
A14,12,A31,A48,3447,A63,A73,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,1,0,35-44,Medium,13.79,3,3,3.13,High Risk
A14,24,A32,A49,1258,A61,A74,4,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,1,0,25-34,Low,5.03,2,3,2.08,Medium Risk
A14,12,A34,A43,717,A61,A75,4,A93,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,1,0,45-59,Low,2.87,1,3,1.52,Low Risk
A14,6,A30,A40,1204,A62,A73,4,A93,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,1,0,35-44,Low,4.82,4,3,2.86,Medium Risk
A13,24,A32,A42,1925,A61,A73,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,1,0,25-34,Low,3.85,2,1,1.39,Low Risk
A14,18,A32,A43,433,A61,A71,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,2,1,18-24,Low,1.3,2,3,1.8,Low Risk
A11,6,A34,A40,666,A64,A74,3,A92,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,1,0,35-44,Low,2.0,1,4,1.75,Low Risk
A13,12,A32,A42,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,1,0,45-59,Medium,2.25,2,1,1.27,Low Risk
A12,30,A32,A40,2150,A61,A73,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,2,1,18-24,Medium,8.6,2,2,2.04,Medium Risk
A14,24,A33,A42,4151,A62,A73,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,1,0,35-44,Medium,8.3,3,3,2.72,Medium Risk
A12,9,A32,A42,2030,A65,A74,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,1,0,18-24,Medium,4.06,2,2,1.7,Low Risk
A12,60,A33,A43,7418,A65,A73,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,1,0,25-34,High,7.42,3,2,2.36,Medium Risk
A14,24,A34,A43,2684,A61,A73,4,A93,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,1,0,35-44,Medium,10.74,1,3,2.11,Medium Risk
A11,12,A31,A43,2149,A61,A73,4,A91,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,2,1,25-34,Medium,8.6,3,4,3.05,High Risk
A14,15,A32,A41,3812,A62,A72,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,1,0,18-24,Medium,3.81,2,3,1.99,Low Risk
A14,11,A34,A43,1154,A62,A71,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,1,0,45-59,Low,4.62,1,3,1.65,Low Risk
A11,12,A32,A42,1657,A61,A73,2,A93,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,1,0,25-34,Low,3.31,2,4,2.25,Medium Risk
A11,24,A32,A43,1603,A61,A75,4,A92,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,1,0,45-59,Low,6.41,2,4,2.48,Medium Risk
A11,18,A34,A40,5302,A61,A75,2,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1,0,35-44,High,10.6,1,4,2.4,Medium Risk
A14,12,A34,A46,2748,A61,A75,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,1,0,45-59,Medium,5.5,1,3,1.71,Low Risk
A14,10,A34,A40,1231,A61,A75,3,A93,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,1,0,25-34,Low,3.69,1,3,1.58,Low Risk
A12,15,A32,A43,802,A61,A75,4,A93,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,2,1,35-44,Low,3.21,2,2,1.64,Low Risk
A14,36,A34,A49,6304,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,1,0,35-44,High,25.22,1,3,2.8,Medium Risk
A14,24,A32,A43,1533,A61,A72,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,1,0,35-44,Low,6.13,2,3,2.16,Medium Risk
A11,14,A32,A40,8978,A61,A75,1,A91,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,2,1,45-59,High,8.98,2,4,2.67,Medium Risk
A14,24,A32,A43,999,A65,A75,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,0,25-34,Low,4.0,2,3,2.0,Medium Risk
A14,18,A32,A40,2662,A65,A74,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,0,25-34,Medium,10.65,2,3,2.5,Medium Risk
A14,12,A34,A42,1402,A63,A74,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,1,0,35-44,Low,4.21,1,3,1.62,Low Risk
A12,48,A31,A40,12169,A65,A71,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,1,0,35-44,High,48.68,3,2,3.3,High Risk
A12,48,A32,A43,3060,A61,A74,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,2,1,25-34,Medium,12.24,2,2,2.32,Medium Risk
A11,30,A32,A45,11998,A61,A72,1,A91,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,2,1,25-34,High,12.0,2,4,2.9,Medium Risk
A14,9,A32,A43,2697,A61,A73,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,1,0,25-34,Medium,2.7,2,3,1.9,Low Risk
A14,18,A34,A43,2404,A61,A73,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,1,0,25-34,Medium,4.81,1,3,1.66,Low Risk
A11,12,A32,A42,1262,A65,A75,2,A91,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,1,0,45-59,Low,2.52,2,4,2.19,Medium Risk
A14,6,A32,A42,4611,A61,A72,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,2,1,25-34,Medium,4.61,2,3,2.05,Medium Risk
A14,24,A32,A43,1901,A62,A73,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,1,0,25-34,Low,7.6,2,3,2.27,Medium Risk
A14,15,A34,A41,3368,A64,A75,3,A93,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,1,0,18-24,Medium,10.1,1,3,2.06,Medium Risk
A14,12,A32,A42,1574,A61,A73,4,A93,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,1,0,45-59,Low,6.3,2,3,2.17,Medium Risk
A13,18,A31,A43,1445,A65,A74,4,A93,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,1,0,45-59,Low,5.78,3,1,1.93,Low Risk
A14,15,A34,A42,1520,A65,A75,4,A93,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,1,0,60+,Low,6.08,1,3,1.76,Low Risk
A12,24,A34,A40,3878,A62,A72,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,0,35-44,Medium,15.51,1,2,2.16,Medium Risk
A11,47,A32,A40,10722,A61,A72,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,1,0,35-44,High,10.72,2,4,2.8,Medium Risk
A11,48,A32,A41,4788,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1,0,25-34,Medium,19.15,2,4,3.44,High Risk
A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,1,0,25-34,High,15.16,3,2,2.94,Medium Risk
A12,12,A32,A43,1092,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,1,0,45-59,Low,4.37,2,2,1.73,Low Risk
A11,24,A33,A43,1024,A61,A72,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,2,1,45-59,Low,4.1,3,4,2.71,Medium Risk
A14,12,A32,A49,1076,A61,A73,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,1,0,25-34,Low,2.15,2,3,1.86,Low Risk
A12,36,A32,A41,9398,A61,A72,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,2,1,25-34,High,9.4,2,2,2.1,Medium Risk
A11,24,A34,A41,6419,A61,A75,2,A92,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,1,0,35-44,High,12.84,1,4,2.56,Medium Risk
A13,42,A34,A41,4796,A61,A75,4,A93,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,1,0,45-59,Medium,19.18,1,1,2.14,Medium Risk
A14,48,A34,A49,7629,A65,A75,4,A91,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,1,0,45-59,High,30.52,1,3,2.8,Medium Risk
A12,48,A32,A42,9960,A61,A72,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,2,1,25-34,High,9.96,2,2,2.15,Medium Risk
A14,12,A32,A41,4675,A65,A72,1,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,0,18-24,Medium,4.68,2,3,2.05,Medium Risk
A14,10,A32,A40,1287,A65,A75,4,A93,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,1,0,45-59,Low,5.15,2,3,2.09,Medium Risk
A14,18,A32,A42,2515,A61,A73,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,1,0,35-44,Medium,7.54,2,3,2.27,Medium Risk
A12,21,A34,A42,2745,A64,A74,3,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,1,0,25-34,Medium,8.24,1,2,1.62,Low Risk
A14,6,A32,A40,672,A61,A71,1,A92,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,1,0,45-59,Low,0.67,2,3,1.75,Low Risk
A12,36,A30,A43,3804,A61,A73,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,2,1,35-44,Medium,15.22,4,2,3.34,High Risk
A13,24,A34,A40,1344,A65,A74,4,A93,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,2,1,35-44,Low,5.38,1,1,1.1,Low Risk
A11,10,A34,A40,1038,A61,A74,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,1,0,45-59,Low,4.15,1,4,1.91,Low Risk
A14,48,A34,A40,10127,A63,A73,2,A93,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,2,1,35-44,High,20.25,1,3,2.8,Medium Risk
A14,6,A32,A42,1543,A64,A73,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,1,0,25-34,Low,6.17,2,3,2.16,Medium Risk
A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1,0,18-24,Medium,9.62,2,3,2.42,Medium Risk
A11,12,A32,A43,727,A62,A72,4,A94,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,2,1,25-34,Low,2.91,2,4,2.22,Medium Risk
A12,8,A32,A42,1237,A61,A73,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,2,1,18-24,Low,3.71,2,2,1.68,Low Risk
A12,9,A32,A40,276,A61,A73,4,A94,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,1,0,18-24,Low,1.1,2,2,1.48,Low Risk
A12,48,A32,A410,5381,A65,A71,3,A93,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,1,0,35-44,High,16.14,2,2,2.61,Medium Risk
A14,24,A32,A42,5511,A62,A73,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,1,0,25-34,High,22.04,2,3,3.2,High Risk
A13,24,A32,A42,3749,A61,A72,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,1,0,25-34,Medium,7.5,2,1,1.66,Low Risk
A12,12,A32,A40,685,A61,A74,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,2,1,25-34,Low,1.37,2,2,1.5,Low Risk
A13,4,A32,A40,1494,A65,A72,1,A93,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,1,0,25-34,Low,1.49,2,1,1.21,Low Risk
A11,36,A31,A42,2746,A61,A75,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,2,1,25-34,Medium,10.98,3,4,3.22,High Risk
A11,12,A32,A42,708,A61,A73,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,1,0,35-44,Low,1.42,2,4,2.11,Medium Risk
A12,24,A32,A42,4351,A65,A73,1,A92,A101,4,A122,48,A143,A152,1,A172,1,A192,A201,1,0,45-59,Medium,4.35,2,2,1.73,Low Risk
A14,12,A34,A46,701,A61,A73,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,1,0,25-34,Low,2.8,1,3,1.51,Low Risk
A11,15,A33,A42,3643,A61,A75,1,A92,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,1,0,25-34,Medium,3.64,3,4,2.67,Medium Risk
A12,30,A34,A40,4249,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2,1,25-34,Medium,17.0,1,2,2.28,Medium Risk
A11,24,A32,A43,1938,A61,A72,4,A91,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,2,1,25-34,Low,7.75,2,4,2.58,Medium Risk
A11,24,A32,A41,2910,A61,A74,2,A93,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,1,0,25-34,Medium,5.82,2,4,2.44,Medium Risk
A11,18,A32,A42,2659,A64,A73,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,1,0,25-34,Medium,10.64,2,4,2.8,Medium Risk
A14,18,A34,A40,1028,A61,A73,4,A92,A101,3,A121,36,A143,A152,2,A173,1,A191,A201,1,0,35-44,Low,4.11,1,3,1.61,Low Risk
A11,8,A34,A40,3398,A61,A74,1,A93,A101,4,A121,39,A143,A152,2,A172,1,A191,A202,1,0,35-44,Medium,3.4,1,4,1.86,Low Risk
A14,12,A34,A42,5801,A65,A75,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,1,0,45-59,High,11.6,1,3,2.17,Medium Risk
A14,24,A32,A40,1525,A64,A74,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,1,0,25-34,Low,6.1,2,3,2.16,Medium Risk
A13,36,A32,A43,4473,A61,A75,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,1,0,25-34,Medium,17.89,2,1,2.44,Medium Risk
A12,6,A32,A43,1068,A61,A75,4,A93,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,1,0,25-34,Low,4.27,2,2,1.72,Low Risk
